BARREIROS,Lugo,27790,43.540783,-7.233328
BECERREÁ,Lugo,27640,42.853322,-7.161839
BEGONTE,Lugo,27373,43.149806,-7.685956
BÓVEDA,Lugo,27340,42.623649,-7.484543
BURELA,Lugo,27880,43.660758,-7.356082
CARBALLEDO,Lugo,27520,42.538655,-7.813489
CASTRO DE REI,Lugo,27250,43.207326,-7.398981
CASTROVERDE,Lugo,27120,43.02963,-7.325698
CERVANTES,Lugo,27664,42.867647,-7.058909
CERVO,Lugo,27891,43.671655,-7.411003
CHANTADA,Lugo,27500,42.609276,-7.768782
COSPEITO,Lugo,27377,43.236449,-7.557617
FOLGOSO DO COUREL,Lugo,27325,42.587852,-7.196257
FOZ,Lugo,27780,43.568314,-7.259552
FRIOL,Lugo,27220,43.028922,-7.791587
GUITIRIZ,Lugo,27300,43.181632,-7.892207
GUNTÍN,Lugo,27211,42.890793,-7.697988
LÁNCARA,Lugo,27360,42.865038,-7.443833
LOURENZÁ,Lugo,27760,43.470435,-7.297577
LUGO,Lugo,27001,43.010084,-7.556448
MEIRA,Lugo,27240,43.213363,-7.294418
MONDOÑEDO,Lugo,27740,43.425692,-7.35738
MONFORTE DE LEMOS,Lugo,27400,42.522898,-7.516408
MONTERROSO,Lugo,27560,42.79296,-7.836632
MURAS,Lugo,27836,43.467077,-7.723091
NAVIA DE SUARNA,Lugo,27650,42.964329,-7.006236
NEGUEIRA DE MUÑIZ,Lugo,27113,43.134373,-6.893889
O CORGO,Lugo,27163,42.948083,-7.447082
O INCIO,Lugo,27346,42.656442,-7.363957
O PÁRAMO,Lugo,27363,42.950219,-7.2943
O SAVIÑAO,Lugo,27540,42.586139,-7.640144
O VALADOURO,Lugo,27770,43.549186,-7.437782
O VICEDO,Lugo,27860,43.732879,-7.672321
OUROL,Lugo,27865,43.564701,-7.642198
OUTEIRO DE REI,Lugo,27150,43.101899,-7.613638
PALAS DE REI,Lugo,27200,42.873185,-7.869161
PANTÓN,Lugo,27430,42.505859,-7.623487
PARADELA,Lugo,27611,42.76209,-7.562628
PEDRAFITA DO CEBREIRO,Lugo,27670,42.726756,-7.021707
POL,Lugo,27270,43.129945,-7.353727
PORTOMARÍN,Lugo,27170,42.807663,-7.616057
QUIROGA,Lugo,27320,42.476101,-7.272686
RÁBADE,Lugo,27370,43.120834,-7.622312
RIBADEO,Lugo,27700,43.536222,-7.03948
RIBAS DE SIL,Lugo,27310,42.466292,-7.287133
RIBEIRA DE PIQUÍN,Lugo,27242,43.200867,-7.20363
RIOTORTO,Lugo,27744,43.342096,-7.261083
SAMOS,Lugo,27620,42.73078,-7.326545
SARRIA,Lugo,27600,42.777011,-7.416142
SOBER,Lugo,27460,42.461862,-7.587178
TABOADA,Lugo,27550,42.716435,-7.762277
TRABADA,Lugo,27765,43.447085,-7.194411
TRIACASTELA,Lugo,27630,42.754493,-7.243072
VILALBA,Lugo,27800,43.297526,-7.680758
VIVEIRO,Lugo,27850,43.66221,-7.595278
XERMADE,Lugo,27833,43.354739,-7.813473
XOVE,Lugo,27870,43.685591,-7.509104
A BOLA,Ourense,32812,42.1563803,-7.9119663
A GUDIÑA,Ourense,32540,42.060756,-7.138131
A MERCA,Ourense,32830,42.21901317,-7.908461094
A MEZQUITA,Ourense,32549,42.013669,-7.045345
A PEROXA,Ourense,32150,42.440256,-7.793947
A POBRA DE TRIVES,Ourense,32780,42.3407489,-7.2518635
A RÚA,Ourense,32350,42.39505332,-7.114095999
A TEIXEIRA,Ourense,32765,42.391254,-7.472425
A VEIGA,Ourense,32360,42.250037,-7.02614
ALLARIZ,Ourense,32660,42.19013,-7.801661
AMOEIRO,Ourense,32170,42.415192,-7.947305
A ARNOIA,Ourense,32417,42.252759,-8.135719
AVIÓN,Ourense,32435,42.375737,-8.251988
BALTAR,Ourense,32632,41.952086,-7.715213
BANDE,Ourense,32840,42.031532,-7.975248
BAÑOS DE MOLGAS,Ourense,32701,42.24476,-7.668438
BARBADÁS,Ourense,32890,42.29802,-7.886126
BEADE,Ourense,32431,42.325571,-8.12322
BEARIZ,Ourense,32520,42.466779,-8.27307
BOBORÁS,Ourense,32514,42.432279,-8.143262
