32066;Quintela de Leirado;616
32068;Ramirás;1571
32084;Verea;983
32029;Chandrexa de Queixa;506
32044;Manzaneda;947
32063;Pobra de Trives, A;2191
32070;San Xoán de Río;583
32009;Barco de Valdeorras, O;13761
32015;Bolo, O;963
32017;Carballeda de Valdeorras;1664
32038;Larouco;487
32060;Petín;957
32072;Rúa, A;4530
32073;Rubiá;1448
32083;Veiga, A;923
32088;Vilamartín de Valdeorras;1798
32021;Castrelo do Val;1067
32028;Cualedro;1792
32039;Laza;1377
32050;Monterrei;2713
32053;Oímbra;1894
32071;Riós;1646
32085;Verín;14031
32091;Vilardevós;2036
32034;Gudiña, A;1345
32048;Mezquita, A;1070
32086;Viana do Bolo;2982
32092;Vilariño de Conso;586
36023;Guarda, A;10133
36036;Oia;3002
36048;Rosal, O;6349
36054;Tomiño;13548
36055;Tui;16966
36005;Caldas de Reis;9830
36010;Catoira;3376
36015;Cuntis;4794
36032;Moraña;4313
36044;Pontecesures;3040
36040;Portas;3056
36056;Valga;6047
36030;Mondariz;4647
36031;Mondariz-Balneario;614
36034;Neves, As;4038
36042;Ponteareas;22963
36050;Salvaterra de Miño;9566
36020;Agolada;2507
36016;Dozón;1107
36024;Lalín;20044
36047;Rodeiro;2644
36052;Silleda;8734
36059;Vila de Cruces;5435
36004;Bueu;12189
36008;Cangas;26584
36026;Marín;24878
36029;Moaña;19458
36001;Arbo;2770
36009;Cañiza, A;5234
36013;Covelo;2528
36014;Crecente;2131
36002;Barro;3746
36007;Campo Lameiro;1894
36902;Cerdedo-Cotobade;-
36012;Cotobade;4290
36025;Lama, A;2587
36041;Poio;16901
36043;Ponte Caldelas;5573
36038;Pontevedra;82549
36058;Vilaboa;6043
36006;Cambados;13977
36022;Grove, O;10758
36901;Illa de Arousa, A;4909
36027;Meaño;5341
36028;Meis;4844
36046;Ribadumia;5105
36051;Sanxenxo;17314
36060;Vilagarcía de Arousa;37283
36061;Vilanova de Arousa;10406
36011;Cerdedo;1781
36017;Estrada, A;20891
36018;Forcarei;3621
36003;Baiona;12119
36019;Fornelos de Montes;1748
36021;Gondomar;14192
36033;Mos;15240
36035;Nigrán;17593
36037;Pazos de Borbén;3004
36039;Porriño, O;19567
36045;Redondela;29563
36049;Salceda de Caselas;8914
36053;Soutomaior;7251
36057;Vigo;292817
